id,userid,groupId,categoryId,title,caption,picture,latitude,longitude,createdAt
4,1,5,2,Zion National Park,Stunning views here at Zion national park.,https://media.architecturaldigest.com/photos/648a00aa1fa1b6e12cc85f4f/master/w_1920%2Cc_limit/GettyImages-557995745.jpg,37.297817,-113.02877,2024-08-03T11:54:15.615702Z
10,1,5,2,Hosa,Camping in Finland is on another level,https://media.architecturaldigest.com/photos/648a00ff968476fd3509fd05/master/w_1920%2Cc_limit/GettyImages-878318396.jpg,65.4676,29.5184,2024-08-03T12:41:42.413401Z
11,1,7,4,Table Mountain,I finally got to see one of the natural wonders of the world in person,https://www.shadowsofafrica.com/media/catalog/product/cache/1/image/900x/040ec09b1e35df139433887a97daa66f/s/h/shutterstock_489627787_1_1.jpg,-33.962864,18.409834,2024-08-03T12:44:43.755427Z
12,1,7,4,Victoria Falls,The view is even better in person,https://africanbushcamps.com/wp-content/uploads/2018/05/Victoria-Falls_03.jpg,-17.924444,25.856667,2024-08-03T12:46:12.603107Z
14,1,7,4,Machu Picchu,One of the wonders of the ancient world that I always wanted to visit.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Machu_Picchu%2C_Peru.jpg/1200px-Machu_Picchu%2C_Peru.jpg,-13.1529,-72.5219,2024-08-03T12:48:48.583607Z
13,1,7,4,Great Pyramids of Giza,I still can't believe that these pyramids are still standing.,https://cdn-imgix.headout.com/media/images/e3e4b92772a00bf08922a79dd5a874d7-Giza.jpg,29.9792,31.1342,2024-08-03T12:47:36.862594Z
1,1,8,5,Security Concern,Found this fence breach,https://media.istockphoto.com/id/1427130990/photo/old-broken-withered-wooden-fence-around-private-property.jpg?s=612x612&w=0&k=20&c=QXSbJUcfW16oajIGvPNeTchIUfThhpUUdEMZ_kZRPqk=,123.123,123.123,2024-08-03T11:47:09.509985Z
15,1,6,3,Route K,Look at the views,https://cdn.outsideonline.com/wp-content/uploads/2023/05/plitvice-lakes-croatia_h.jpg?width=768,44.87075,15.600487,2024-08-03T12:54:01.769003Z
17,1,8,5,Kruger Park,Things to be wary of when entering the Kruger,https://bjornfree.com/travel/wp-content/uploads/2022/12/DSC01714KrugerParkRules.jpg,-23.9884,31.5547,2024-08-03T12:57:22.934634Z
7,1,4,1,Leopard Sighting,Spotted a Leopard in the tree tops,https://www.krugerpark.co.za/images/leopard-tree-shem-compion-590x390.jpg,-23.9884,31.1,2024-08-03T12:37:18.390479Z
8,1,4,1,Rhino Sighting,Saw a rare white rhino today!,https://www.krugerpark.co.za/images/white-rhino-roger-delaharpe-590x390.jpg,-23.9884,31.2,2024-08-03T12:38:44.356157Z
6,102,4,1,Elephant Sighting,Look at this baby elephant I just saw at the Kruger,https://www.krugerpark.co.za/images/elephant-baby-krugerparl-590-590x280.jpg,-23.9884,31.3,2024-08-03T12:34:55.159536Z
5,1,4,1,Lion Sighting,Just saw a lion in the safari park,https://www.krugerpark.co.za/images/black-maned-lion-shem-compion-786x500.jpg,-23.9884,31.4,2024-08-03T12:33:14.841459Z
9,1,4,1,Cheetah Sighting,Found some cheetah cubs today at the Kruger national park,https://www.goodthingsguy.com/wp-content/uploads/2017/01/597882562-620x400.jpg,-23.9884,31.6,2024-08-03T12:39:36.425700Z
133,455,9,1,White Bengal Tiger,How amazing,https://cdn.pixabay.com/photo/2016/07/13/06/20/white-tiger-1513723_640.jpg,0.0,0.0,2024-09-06T16:59:59Z
135,513,13,2,Good vibes,This is what life is all about,https://cdn.pixabay.com/photo/2016/11/29/04/17/bonfire-1867275_640.jpg,0.0,0.0,2024-09-06T17:06:54Z
136,513,13,2,Beach Shore Camping,Decided to setup on the beach this evening,https://cdn.pixabay.com/photo/2015/07/11/06/53/campfire-840542_640.jpg,0.0,0.0,2024-09-06T17:09:13Z
137,509,14,2,Camping ,Late night chats ,https://cdn.pixabay.com/photo/2020/02/04/10/42/people-4817872_1280.jpg,1.0,1.0,2024-09-06T17:13:19Z
138,509,14,2,Group Camping,This is what having a community is all about,https://cdn.pixabay.com/photo/2019/03/12/12/47/people-4050698_640.jpg,1.0,1.0,2024-09-06T17:14:59Z
139,487,15,2,Summer Camp,Camping is better with friends,https://cdn.pixabay.com/photo/2016/01/26/23/32/camp-1163419_640.jpg,1.0,1.0,2024-09-06T17:17:06Z
140,487,15,2,Night Sky,Night's like this make everything so worth it,https://cdn.pixabay.com/photo/2016/11/21/15/14/camping-1845906_640.jpg,1.0,1.0,2024-09-06T17:18:19Z
141,533,16,2,Early Mornings,Can't believe I got to wake up to a view like this,https://cdn.pixabay.com/photo/2020/06/14/17/57/mountains-5298769_640.jpg,1.0,1.0,2024-09-06T17:20:14Z
142,533,16,2,Mountain Views,People who are scared to camp in the wilderness should reconsider,https://cdn.pixabay.com/photo/2017/08/17/08/08/camp-2650359_640.jpg,1.0,1.0,2024-09-06T17:21:41Z
143,533,16,2,Group Expedition,I am grateful to be part of this community,https://cdn.pixabay.com/photo/2018/12/24/22/19/camping-3893587_640.jpg,1.0,1.0,2024-09-06T17:23:59Z
144,533,16,2,Scottish Beach,Decided to make up camp in Scotland,https://cdn.pixabay.com/photo/2016/09/28/12/35/scotland-1700413_640.jpg,1.0,1.0,2024-09-06T17:25:38Z
146,533,16,2,Northern Lights,Got to see the northern lights,https://cdn.pixabay.com/photo/2020/01/11/07/39/north-4756774_640.jpg,1.0,1.0,2024-09-06T17:28:16Z
147,516,17,3,Snow day,Mountain hikes in the snow,https://cdn.pixabay.com/photo/2016/02/07/19/50/mountaineer-1185474_1280.jpg,2.0,2.0,2024-09-06T17:30:59Z
148,516,17,3,Morning hike,Morning hikes help to clear my mind,https://cdn.pixabay.com/photo/2014/09/21/17/56/mountaineering-455338_640.jpg,2.0,2.0,2024-09-06T17:32:07Z
149,533,19,3,Misty Mountain,Nature is amazing,https://cdn.pixabay.com/photo/2019/10/02/17/19/mountains-4521455_640.jpg,2.0,2.0,2024-09-06T17:33:14Z
150,533,19,3,Clear Lake,Mountains and lakes. What more do you need?,https://cdn.pixabay.com/photo/2017/03/27/15/02/couple-2179256_640.jpg,2.0,2.0,2024-09-06T17:34:38Z
151,533,19,3,Mountain Peak,One of the most rewarding hikes I have ever been on.,https://cdn.pixabay.com/photo/2021/02/05/01/22/man-5983064_640.jpg,2.0,2.0,2024-09-06T17:36:22Z
152,522,18,3,Urban Hikes,Maybe not the best weather but it is always worth getting up here,https://cdn.pixabay.com/photo/2016/11/19/18/08/buildings-1840621_640.jpg,2.0,2.0,2024-09-06T17:42:14Z
153,522,18,3,Mountain Views,My happy place. I could sit here for hours,https://cdn.pixabay.com/photo/2022/09/07/08/02/mountain-7438178_640.jpg,2.0,2.0,2024-09-06T17:44:40Z
154,522,18,3,Scenic Route,Always take the longer route,https://cdn.pixabay.com/photo/2017/08/11/10/21/dolomites-2630274_640.jpg,2.0,2.0,2024-09-06T17:46:36Z
155,536,20,3,Forest Walks,Nothing beats fresh air,https://cdn.pixabay.com/photo/2020/04/13/11/49/forest-5038025_1280.jpg,2.0,2.0,2024-09-06T17:59:09Z
156,536,20,3,Autumn Hikes,Wow what a view,https://cdn.pixabay.com/photo/2023/11/01/11/13/path-8357174_640.jpg,2.0,2.0,2024-09-06T18:01:02Z
157,536,20,3,Serene Scenes,Sometimes you just that peace and quiet.,https://cdn.pixabay.com/photo/2023/03/31/18/44/hiking-7890733_640.jpg,2.0,2.0,2024-09-06T18:02:42Z
158,536,20,3,Hidden Path,Always fun to find places like this,https://cdn.pixabay.com/photo/2017/11/12/13/37/forest-2942477_640.jpg,2.0,2.0,2024-09-06T18:04:20Z
159,536,20,3,Pleasant Park,This beats staying at home all day,https://cdn.pixabay.com/photo/2020/05/29/20/20/nature-5236576_640.jpg,2.0,2.0,2024-09-06T18:06:37Z
